																																								-90														
-88	-74	-86	-58		-56	-72			-58																							-60		-66					-68	-90														
-86	-74	-86	-56		-58	-80																										-70		-60					-70										-94					
-90	-74	-86			-58	-72			-68																							-68		-58					-66										-94					
	-74	-86	-58		-54				-58																							-58		-58					-74															-86
-84	-74	-84	-54		-54	-80			-58																							-58		-68					-74															
	-74	-86	-58		-56	-80	-92		-60																	-82						-60		-60					-72															-88
-86		-86	-56		-56				-70																							-62		-68					-68	-88														
-86	-74		-56		-54	-72			-70																							-58		-58					-68	-90														-74
	-74	-86	-54		-56	-70			-58																							-68		-58					-68	-90														
-86	-74		-54		-56	-80	-92												-70							-90						-70		-62																				
	-74	-86	-56		-56	-80			-60																									-58						-90									-94					-80
-86	-74	-84	-56		-56	-80			-58																							-58		-68					-72															
-86	-74	-86	-54		-56				-70																							-58		-58					-76															-80
-90	-72	-84	-56			-70			-68												-84											-58		-62					-74															
	-74	-84	-54		-56	-72			-58																							-58		-62					-74															-82
-86	-74	-88	-56		-56	-80			-58						-84											-86								-60					-66															-80
-86	-74	-86	-54		-56	-72													-68													-58		-68						-90									-94					-74
	-74	-90	-54		-56	-80	-92		-60																							-70		-58					-74															-74
-86	-74	-84	-56			-72	-90		-58										-68													-58		-58					-74															
	-74	-86	-54		-56	-80			-70						-84																	-58		-60						-88														
	-74	-90	-56		-58	-80			-70																							-70		-62																				-88
-86	-74	-84	-54		-56	-80									-84						-86											-58		-60						-90														
	-74	-86	-56		-54	-80			-58										-68													-58		-58																				
	-74	-86	-56		-56	-82			-58						-76																	-68		-62						-88			-94											
-90	-74	-84	-56		-54	-70	-94		-58																							-58		-60																				
-84	-74	-86	-56		-54	-80			-58										-68													-58		-58																				-86
-86	-74	-86			-56	-80																										-58		-70						-90														
-86	-74	-90	-56		-58	-72			-70																							-70		-70						-88														
-86	-74	-86	-56		-54	-84			-58																									-60																				
-92	-74	-90	-54		-56	-80			-58										-68													-70		-58																				
	-74	-86	-54		-56	-82			-60						-84																	-58		-60						-90														
	-74	-84	-54		-54	-80			-70										-68							-88						-60		-58																				-82
-88	-74	-86	-56		-56	-72			-70																							-68		-58														-88	-92					-86
-88	-74	-86	-54		-56	-80			-70																							-58		-58											-96									-86
-86			-56		-54	-72			-58																							-70		-60																				
-90	-74	-86			-56	-72			-58																							-68		-58																				-78
-86	-74	-90	-54		-54	-72			-58		-88																					-62		-62																				
-86		-86	-56		-56	-80			-60																							-70		-70																				-82
-92	-74	-90	-54		-54	-82													-68													-58		-58						-88														
-90	-74	-86	-54		-54				-70																							-58		-60																				-78
-86	-74	-90	-56		-56	-72			-58																							-60		-58						-90														
	-74	-86	-56		-54	-72	-92		-58										-70							-84						-62		-58						-88														-78
-86	-74	-84	-54			-72			-58		-88																					-62		-70										-94										
-86	-74	-90	-56		-56	-72			-60																							-62		-60																				-80
	-74	-86	-56		-54	-72			-72																							-58		-58																				-82
-90	-72	-86			-56	-72			-58																							-58		-58																				
-90	-72	-86	-58		-58	-72															-86											-60		-70						-88														-78
-86	-74	-86	-54		-54	-80			-60																															-90														
-90	-74	-88	-56		-54																													-62																				-82
		-86	-56		-56	-72			-68																	-84								-58															-92					
	-74	-86	-56		-56	-80			-70						-86				-68													-68																						
-90	-74	-86	-54		-56				-72																							-62		-62																				-82
-86	-74	-86	-56		-56	-80			-58						-76																	-60		-58						-88														
-86		-86	-54		-54																											-62		-68																				-80
	-74	-86	-56		-56	-80			-58										-70													-68		-60																				
-86	-74	-90	-54		-56	-80			-58																							-58		-70						-88														-82
	-74	-86	-56		-56	-80			-72																							-66																						-80
-86	-74	-86	-56		-56	-72			-72										-66							-84								-58																				
-88	-74	-88	-54		-56	-72			-58																							-60		-60						-88									-92					-82
